iter	RMSE
0	9.006420979
1	8.650764648
2	8.337779235
3	8.011051085
4	7.753232384
5	7.484880066
6	7.26393152
7	7.039446756
8	6.877095725
9	6.715058862
10	6.565535172
11	6.401049264
12	6.26800195
13	6.137496267
14	6.027428874
15	5.937016763
16	5.847759531
17	5.765158331
18	5.675806735
19	5.600154342
20	5.534280693
21	5.479800914
22	5.433558025
23	5.384723461
24	5.341066198
25	5.305093308
26	5.264729054
27	5.210090576
28	5.159586257
29	5.122765875
30	5.098019967
31	5.063834025
32	5.033516747
33	5.011749115
34	4.987206566
35	4.937702574
36	4.921471528
37	4.892923628
38	4.859651224
39	4.848223482
40	4.816419481
41	4.804924458
42	4.787941004
43	4.772486263
44	4.749842184
45	4.73138337
46	4.722698313
47	4.714191388
48	4.701373466
49	4.690204272
50	4.667096667
51	4.650773563
52	4.631790406
53	4.626284936
54	4.621613243
55	4.616373302
56	4.612375778
57	4.606728784
58	4.602474764
59	4.589772614
60	4.572535527
61	4.547534025
62	4.537015342
63	4.53318154
64	4.523431148
65	4.520384927
66	4.500549971
67	4.490956428
68	4.484254627
69	4.480963168
70	4.473593224
71	4.470660512
72	4.460996491
73	4.457394691
74	4.447553903
75	4.434329265
76	4.429649659
77	4.418346052
78	4.405954428
79	4.403962898
80	4.391361586
81	4.386015475
82	4.380104993
83	4.377700136
84	4.374839597
85	4.371352947
86	4.369826437
87	4.366468851
88	4.364114975
89	4.361138106
90	4.35349452
91	4.351675787
92	4.345757839
93	4.335319303
94	4.325117911
95	4.322555125
96	4.318933263
97	4.317344501
98	4.312745504
99	4.309018513
100	4.307771209
101	4.305124787
102	4.304370921
103	4.296345774
104	4.291839687
105	4.289670941
106	4.288572024
107	4.286394215
108	4.283535044
109	4.281206821
110	4.280183056
111	4.278049842
112	4.276496736
113	4.269474818
114	4.268245162
115	4.261323075
116	4.259365831
117	4.257706076
118	4.255885029
119	4.252552393
120	4.250389056
121	4.249459506
122	4.248304521
123	4.243903217
124	4.239139424
125	4.237716604
126	4.235785369
127	4.234991581
128	4.23363904
129	4.23105994
130	4.230036461
131	4.224584457
132	4.223541373
133	4.221539339
134	4.21620224
135	4.215116651
136	4.213539635
137	4.211022155
138	4.209870605
139	4.206270353
140	4.205148627
141	4.203744522
142	4.201201374
143	4.193941628
144	4.19124883
145	4.190723029
146	4.187908548
147	4.187015565
148	4.182633528
149	4.181831481
150	4.180799442
151	4.179938191
152	4.178521003
153	4.171183707
154	4.170342738
155	4.168719828
156	4.168036021
157	4.166554995
158	4.164066166
159	4.161716329
160	4.160964986
161	4.155690766
162	4.154821187
163	4.153145566
164	4.151204568
165	4.150499366
166	4.149045619
167	4.148063445
168	4.147223292
169	4.146421456
170	4.144252163
171	4.143667092
172	4.138570462
173	4.137100847
174	4.131083643
175	4.129639772
176	4.127889203
177	4.126937019
178	4.124277428
179	4.123447166
180	4.122322363
181	4.120255087
182	4.117874392
183	4.11715132
184	4.116217319
185	4.115547622
186	4.112726136
187	4.110503561
188	4.106742729
189	4.105397146
190	4.102099397
191	4.101495592
192	4.100854743
193	4.097358436
194	4.094468768
195	4.093548742
196	4.092648898
197	4.090904821
198	4.089147947
199	4.088582015
200	4.087817684
201	4.082843385
202	4.081505823
203	4.080751431
204	4.079639609
205	4.076049298
206	4.073782432
207	4.073136477
208	4.07041621
209	4.068762414
210	4.068086967
211	4.066794444
212	4.064361152
213	4.062164584
214	4.061228507
215	4.060527338
216	4.058568039
217	4.05777778
218	4.057110172
219	4.056270754
220	4.054999839
221	4.053512179
222	4.052933927
223	4.052082524
224	4.051450069
