iter	Passed	Remaining
0	2	2087
1	4	1999
2	5	1961
3	7	1991
4	9	1987
5	12	2002
6	13	1985
7	15	1973
8	17	1961
9	19	1925
10	21	1916
11	23	1911
12	25	1913
13	27	1906
14	29	1908
15	30	1901
16	32	1898
17	34	1895
18	36	1892
19	38	1884
20	40	1878
21	42	1880
22	44	1874
23	46	1870
24	47	1865
25	49	1860
26	51	1852
27	53	1844
28	54	1838
29	56	1833
30	58	1831
31	60	1829
32	62	1824
33	64	1822
34	66	1819
35	67	1817
36	69	1816
37	71	1809
38	73	1804
39	75	1800
40	76	1797
41	78	1797
42	80	1794
43	82	1791
44	84	1787
45	86	1784
46	87	1782
47	89	1782
48	91	1780
49	93	1776
50	95	1774
51	97	1775
52	99	1771
53	101	1770
54	102	1768
55	104	1766
56	106	1764
57	108	1764
58	110	1761
59	112	1760
60	114	1758
61	116	1755
62	117	1753
63	119	1751
64	121	1749
65	123	1748
66	125	1746
67	127	1743
68	129	1741
69	130	1739
70	132	1737
71	134	1734
72	136	1732
73	138	1731
74	140	1729
75	142	1726
76	144	1726
77	146	1728
78	148	1725
79	149	1723
80	151	1720
81	153	1718
82	155	1717
83	157	1715
84	159	1713
85	161	1711
86	162	1708
87	164	1706
88	166	1703
89	168	1702
90	170	1700
91	171	1696
92	173	1696
93	175	1694
94	177	1692
95	179	1690
96	181	1687
97	183	1685
98	185	1684
99	186	1682
100	188	1680
101	190	1678
102	192	1675
103	194	1674
104	196	1672
105	198	1670
106	199	1669
107	201	1666
108	203	1663
109	205	1660
110	207	1658
111	208	1656
112	210	1655
113	212	1654
114	214	1651
115	216	1650
116	218	1648
117	220	1647
118	222	1645
119	224	1643
120	225	1641
121	227	1639
122	229	1637
123	231	1635
124	233	1633
125	235	1630
126	236	1628
127	238	1626
128	240	1624
129	242	1622
130	244	1620
131	246	1618
132	248	1616
133	249	1615
134	251	1613
135	253	1612
136	255	1610
137	257	1610
138	259	1608
139	261	1606
140	263	1605
141	265	1602
142	267	1600
143	268	1598
144	270	1597
145	272	1594
146	274	1592
147	276	1590
148	278	1588
149	279	1586
150	281	1584
151	283	1583
152	285	1580
153	287	1578
154	289	1575
155	290	1573
156	292	1572
157	294	1571
158	296	1569
159	298	1567
160	300	1566
161	302	1564
162	304	1562
163	306	1560
164	307	1558
165	309	1556
166	311	1554
167	313	1552
168	315	1550
169	317	1548
170	319	1546
171	321	1546
172	323	1544
173	324	1542
174	326	1540
175	328	1537
176	330	1536
177	332	1534
178	334	1532
179	336	1531
180	337	1528
181	339	1526
182	341	1524
183	343	1522
184	345	1520
185	347	1518
186	348	1516
187	350	1514
188	352	1512
189	354	1510
190	356	1508
191	358	1506
192	359	1504
193	361	1502
194	363	1500
195	365	1497
196	366	1495
197	368	1493
198	370	1492
199	372	1490
200	374	1488
201	376	1486
202	378	1484
203	380	1483
204	381	1481
205	383	1479
206	385	1477
207	387	1476
208	389	1474
209	391	1472
210	393	1471
211	395	1469
212	397	1466
213	399	1465
214	400	1463
215	402	1462
216	404	1460
217	406	1458
218	408	1457
219	410	1455
220	412	1453
221	414	1452
222	416	1450
223	418	1448
224	420	1447
225	422	1445
226	423	1443
227	425	1441
228	427	1440
229	429	1438
230	431	1436
231	433	1434
232	435	1433
233	437	1432
234	439	1431
235	441	1429
236	443	1427
237	445	1425
238	447	1423
239	448	1421
240	450	1420
241	452	1418
242	454	1415
243	456	1413
244	458	1412
245	460	1410
246	462	1408
247	463	1406
248	465	1404
249	467	1402
250	469	1400
251	471	1398
252	472	1396
253	474	1394
254	476	1392
255	478	1390
256	480	1388
257	481	1386
258	483	1384
259	485	1382
260	487	1380
261	489	1378
262	491	1376
263	492	1373
264	494	1372
265	496	1370
266	498	1368
267	500	1366
268	502	1364
269	504	1363
270	505	1361
271	507	1359
272	509	1357
273	511	1355
274	513	1353
275	515	1351
276	517	1349
277	518	1347
278	520	1346
279	522	1344
280	524	1342
281	526	1339
282	528	1337
283	529	1335
284	531	1334
285	533	1332
286	535	1330
287	537	1328
288	539	1326
289	541	1325
290	543	1323
